Firs Name,Last Name,Gender,DateOfBirth,Email,Phon Number,Address,City,State,Country,ZipCode,LoyaltyProgramID
Kristen,Perez,M,1993-07-25,tpierce@example.org,+1-951-253-8555x57620,662 Miller Stream Suite 338,North Cathymouth,Wisconsin,Saint Pierre and Miquelon,91099,1
Susan,Ferguson,F,2018-01-05,charlesriley@example.net,447.590.0509,5355 Devin Trafficway,North Baileychester,Michigan,Kiribati,68367,4
Stephanie,Wilkins,F,1972-04-20,jessica54@example.net,(528)505-1126x2668,8887 Vanessa Parkways Apt. 565,South Andreamouth,West Virginia,Palau,96163,5
Stephanie,Ortega,F,2002-07-30,taraescobar@example.org,2452517365,402 Benjamin Vista Apt. 886,West Alyssa,Oregon,Kazakhstan,95191,4
Ricky,Griffin,M,1976-08-30,schneiderpeter@example.com,(287)340-4081x336,3929 Maxwell Island,South Alicia,West Virginia,Eritrea,10295,2
Kristy,Jackson,M,2012-12-21,sfuller@example.org,434-359-8455x35503,8141 Barnes Bridge Apt. 199,New Matthewtown,Iowa,Montserrat,73940,3
Kelly,Brown,F,1974-08-29,torreslaura@example.com,461-498-4930x42753,2619 Steven Drives,East Elizabeth,Ohio,Suriname,41356,2
Katie,Bishop,F,2002-09-21,smithmichael@example.org,(575)204-8316,5273 Samantha Squares,Thomaston,Louisiana,Serbia,79338,5
Nicholas,Anderson,F,2002-09-05,hjohnson@example.org,203-288-5377,18381 Cruz Court Apt. 928,Ashleyview,Louisiana,Fiji,76581,4
Kenneth,Jordan,M,1999-07-10,mporter@example.org,853-924-0678x975,44543 Calhoun Road,Rebeccaville,Utah,Bosnia and Herzegovina,62315,5
Brittany,Reyes,M,2012-05-10,taylorroger@example.com,+1-413-386-1433x27308,9461 Angela Crossing,Lake Ann,Georgia,Mexico,06661,3
Diana,Martinez,M,1985-01-15,thompsondylan@example.org,(463)419-0055x5433,1645 Nicholas Passage Suite 771,Hansenshire,Iowa,Indonesia,69602,4
Melissa,Wright,F,2002-07-15,jeffrey96@example.net,288.725.8215x749,98830 Perry Curve Suite 573,East Christophertown,Kansas,Equatorial Guinea,84337,3
Jason,Elliott,M,1989-12-14,gardnerjeremy@example.com,001-499-652-1932x325,2481 Williams Prairie Apt. 907,New Amandashire,Texas,Pakistan,77933,4
Daniel,Johnson,M,2017-02-27,parkpatrick@example.org,855-817-7552x15791,33960 Baldwin Views,Mcdonaldville,Kansas,Sweden,83753,1
Jessica,Mcguire,M,2005-07-08,donalddavis@example.net,435-622-3129x8110,112 Brandon Field,North Juan,Louisiana,Tunisia,94384,5
Collin,Moore,F,2019-03-03,samuel13@example.net,472-776-4505x721,85609 Summers Ways,Lake Jay,Oklahoma,El Salvador,68361,4
